tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
17.6,14.4,21.5,,,195.0,11.8,,1013.6,
16.2,13.9,17.3,25.4,,193.0,10.8,,1007.0,
15.0,12.5,17.4,5.8,,290.0,20.0,,1010.2,
15.8,13.3,19.6,,,235.0,10.5,,1011.3,
14.8,13.1,16.9,,,197.0,11.7,,1001.8,
14.2,12.5,16.5,18.0,,90.0,9.7,,996.6,
13.2,10.7,17.0,6.6,,170.0,9.4,,1001.7,
14.7,11.3,18.1,,,148.0,10.8,,1012.6,
18.7,15.7,22.5,1.5,,200.0,11.3,,1017.2,
19.9,16.9,24.4,,,107.0,14.3,,1018.1,
15.8,14.0,18.2,,,156.0,10.9,,1014.0,
14.4,12.2,18.0,,,198.0,10.8,,1018.8,
17.1,12.1,20.7,2.5,,,,,,
15.1,12.8,17.8,,,210.0,17.9,,1010.3,
16.0,13.6,19.3,8.1,,199.0,13.4,,998.7,
16.2,13.9,19.3,1.3,,130.0,11.5,,998.6,
16.3,14.4,19.5,,,153.0,7.8,,1003.6,
11.5,5.9,18.5,0.8,,,8.3,,1004.7,
13.1,10.9,15.3,9.9,,256.0,16.8,,1005.6,
14.0,10.3,16.3,,,198.0,13.0,,1016.9,
13.8,12.4,15.7,,,234.0,14.6,,1017.7,
12.4,9.7,15.0,1.8,,246.0,15.8,,1016.7,
10.9,7.7,14.1,,,278.0,14.1,,1025.1,
11.1,9.6,13.2,13.0,,189.0,8.3,,1021.0,
12.9,10.4,14.9,,,264.0,11.4,,1014.1,
10.5,7.8,12.4,,,201.0,13.4,,1002.2,
9.9,7.3,13.0,5.1,,237.0,20.2,,983.7,
10.4,7.4,14.3,10.9,,219.0,18.7,,971.7,
12.0,10.2,15.1,6.1,,201.0,7.9,,987.4,
9.8,5.3,16.0,,,,2.4,,1007.1,
11.8,10.0,13.8,1.5,,209.0,8.8,,1015.2,
12.8,10.2,15.5,,,85.0,6.5,,1012.9,
11.4,8.5,13.6,,,,10.0,,1006.3,
11.2,7.6,15.4,,,225.0,12.3,,1020.5,
14.1,12.7,16.7,5.6,,204.0,11.7,,1014.9,
10.8,6.8,15.1,,,214.0,6.8,,1017.6,
10.0,4.9,14.4,,,99.0,5.1,,1013.8,
10.7,10.0,11.5,17.5,,,7.5,,1016.5,
10.9,9.3,13.6,0.8,,120.0,1.8,,1022.7,
14.0,12.0,16.4,0.8,,207.0,15.2,,1015.4,
12.0,10.7,13.3,1.5,,228.0,18.3,,1016.9,
